x-axis,1,2,3
second,Volt,Volt,Volt
+250.00E-06,+6.56150007E+00,+972.50001E-03,+12.00008E-03
+260.00E-06,+6.56150007E+00,+978.75001E-03,+43.25008E-03
+270.00E-06,+6.49900007E+00,+978.75001E-03,+12.00008E-03
+280.00E-06,+6.56150007E+00,+966.25001E-03,+12.00008E-03
+290.00E-06,+6.49900007E+00,+966.25001E-03,+12.00008E-03
+300.00E-06,+6.49900007E+00,+966.25001E-03,+12.00008E-03
+310.00E-06,+6.49900007E+00,+960.00001E-03,+43.25008E-03
+320.00E-06,+6.43650007E+00,+953.75001E-03,+12.00008E-03
+330.00E-06,+6.43650007E+00,+953.75001E-03,+43.25008E-03
+340.00E-06,+6.43650007E+00,+947.50001E-03,+43.25008E-03
+350.00E-06,+6.37400007E+00,+947.50001E-03,+12.00008E-03
+360.00E-06,+6.43650007E+00,+947.50001E-03,+43.25008E-03
+370.00E-06,+6.37400007E+00,+941.25001E-03,+43.25008E-03
+380.00E-06,+6.37400007E+00,+941.25001E-03,+12.00008E-03
+390.00E-06,+6.37400007E+00,+947.50001E-03,+43.25008E-03
+400.00E-06,+6.31150007E+00,+935.00001E-03,+43.25008E-03
+410.00E-06,+6.31150007E+00,+935.00001E-03,+43.25008E-03
+420.00E-06,+6.31150007E+00,+935.00001E-03,+43.25008E-03
+430.00E-06,+6.24900007E+00,+928.75001E-03,+43.25008E-03
+440.00E-06,+6.24900007E+00,+922.50001E-03,+43.25008E-03
+450.00E-06,+6.24900007E+00,+928.75001E-03,+43.25008E-03
+460.00E-06,+6.31150007E+00,+928.75001E-03,+43.25008E-03
+470.00E-06,+6.24900007E+00,+922.50001E-03,+43.25008E-03
+480.00E-06,+6.24900007E+00,+916.25001E-03,+43.25008E-03
+490.00E-06,+6.18650007E+00,+910.00001E-03,+43.25008E-03
+500.00E-06,+6.18650007E+00,+903.75001E-03,+43.25008E-03
+510.00E-06,+6.12400007E+00,+903.75001E-03,+43.25008E-03
+520.00E-06,+6.18650007E+00,+903.75001E-03,+43.25008E-03
+530.00E-06,+6.06150007E+00,+903.75001E-03,+43.25008E-03
+540.00E-06,+6.06150007E+00,+891.25001E-03,+74.50008E-03
+550.00E-06,+6.06150007E+00,+891.25001E-03,+43.25008E-03
+560.00E-06,+5.99900007E+00,+897.50001E-03,+43.25008E-03
+570.00E-06,+5.93650007E+00,+885.00001E-03,+74.50008E-03
+580.00E-06,+5.99900007E+00,+891.25001E-03,+74.50008E-03
+590.00E-06,+5.93650007E+00,+885.00001E-03,+43.25008E-03
+600.00E-06,+5.93650007E+00,+885.00001E-03,+43.25008E-03
+610.00E-06,+5.93650007E+00,+866.25001E-03,+74.50008E-03
+620.00E-06,+5.81150007E+00,+866.25001E-03,+74.50008E-03
+630.00E-06,+5.87400007E+00,+866.25001E-03,+74.50008E-03
+640.00E-06,+5.93650007E+00,+866.25001E-03,+74.50008E-03
+650.00E-06,+5.87400007E+00,+872.50001E-03,+105.75008E-03
+660.00E-06,+5.87400007E+00,+860.00001E-03,+74.50008E-03
+670.00E-06,+5.74900007E+00,+841.25001E-03,+43.25008E-03
+680.00E-06,+5.68650007E+00,+841.25001E-03,+43.25008E-03
+690.00E-06,+5.74900007E+00,+841.25001E-03,+43.25008E-03
+700.00E-06,+5.74900007E+00,+847.50001E-03,+43.25008E-03
+710.00E-06,+5.74900007E+00,+841.25001E-03,+74.50008E-03
+720.00E-06,+5.74900007E+00,+853.75001E-03,+43.25008E-03
+730.00E-06,+5.68650007E+00,+841.25001E-03,+105.75008E-03
+740.00E-06,+5.68650007E+00,+835.00001E-03,+74.50008E-03
+750.00E-06,+5.62400007E+00,+835.00001E-03,+74.50008E-03
+760.00E-06,+5.62400007E+00,+828.75001E-03,+74.50008E-03
+770.00E-06,+5.62400007E+00,+816.25001E-03,+43.25008E-03
+780.00E-06,+5.56150007E+00,+810.00001E-03,+74.50008E-03
+790.00E-06,+5.56150007E+00,+816.25001E-03,+74.50008E-03
+800.00E-06,+5.49900007E+00,+803.75001E-03,+74.50008E-03
+810.00E-06,+5.49900007E+00,+810.00001E-03,+74.50008E-03
+820.00E-06,+5.49900007E+00,+810.00001E-03,+74.50008E-03
+830.00E-06,+5.49900007E+00,+797.50001E-03,+74.50008E-03
+840.00E-06,+5.43650007E+00,+797.50001E-03,+74.50008E-03
+850.00E-06,+5.37400007E+00,+791.25001E-03,+74.50008E-03
+860.00E-06,+5.43650007E+00,+791.25001E-03,+74.50008E-03
+870.00E-06,+5.37400007E+00,+791.25001E-03,+105.75008E-03
+880.00E-06,+5.31150007E+00,+785.00001E-03,+74.50008E-03
+890.00E-06,+5.37400007E+00,+778.75001E-03,+74.50008E-03
+900.00E-06,+5.31150007E+00,+772.50001E-03,+74.50008E-03
+910.00E-06,+5.37400007E+00,+778.75001E-03,+105.75008E-03
+920.00E-06,+5.24900007E+00,+766.25001E-03,+105.75008E-03
+930.00E-06,+5.18650007E+00,+753.75001E-03,+74.50008E-03
+940.00E-06,+5.18650007E+00,+747.50001E-03,+105.75008E-03
+950.00E-06,+5.06150007E+00,+747.50001E-03,+74.50008E-03
+960.00E-06,+5.18650007E+00,+747.50001E-03,+105.75008E-03
+970.00E-06,+5.12400007E+00,+747.50001E-03,+105.75008E-03
+980.00E-06,+4.99900007E+00,+741.25001E-03,+105.75008E-03
+990.00E-06,+5.06150007E+00,+741.25001E-03,+74.50008E-03
+1.00000E-03,+5.06150007E+00,+728.75000E-03,+105.75008E-03
+1.01000E-03,+5.06150007E+00,+728.75000E-03,+105.75008E-03
+1.02000E-03,+4.99900007E+00,+722.50000E-03,+74.50008E-03
+1.03000E-03,+4.93650007E+00,+722.50000E-03,+74.50008E-03
+1.04000E-03,+4.87400007E+00,+710.00000E-03,+105.75008E-03
+1.05000E-03,+4.93650007E+00,+703.75000E-03,+105.75008E-03
+1.06000E-03,+4.87400007E+00,+697.50000E-03,+105.75008E-03
+1.07000E-03,+4.81150007E+00,+703.75000E-03,+105.75008E-03
+1.08000E-03,+4.87400007E+00,+691.25000E-03,+137.00008E-03
+1.09000E-03,+4.74900007E+00,+691.25000E-03,+105.75008E-03
