x-axis,1
second,Volt
+2.0827000E-06,-132.8125000131E-03
+2.0828000E-06,-89.8437500112E-03
+2.0829000E-06,-48.8281250108E-03
+2.0830000E-06,-7.8125000109E-03
+2.0831000E-06,+31.2499999896E-03
+2.0832000E-06,+70.3124999895E-03
+2.0833000E-06,+105.4687499905E-03
+2.0834000E-06,+142.5781249899E-03
+2.0835000E-06,+181.6406249892E-03
+2.0836000E-06,+226.5624999875E-03
+2.0837000E-06,+273.4374999869E-03
+2.0838000E-06,+320.3124999868E-03
+2.0839000E-06,+369.1406249862E-03
+2.0840000E-06,+419.9218749855E-03
+2.0841000E-06,+470.7031249854E-03
+2.0842000E-06,+521.4843749853E-03
+2.0843000E-06,+566.4062499869E-03
+2.0844000E-06,+607.4218749880E-03
+2.0845000E-06,+648.4374999879E-03
+2.0846000E-06,+687.4999999884E-03
+2.0847000E-06,+726.5624999883E-03
+2.0848000E-06,+761.7187499894E-03
+2.0849000E-06,+798.8281249887E-03
+2.0850000E-06,+841.7968749869E-03
+2.0851000E-06,+886.7187499862E-03
+2.0852000E-06,+933.5937499855E-03
+2.0853000E-06,+980.4687499854E-03
+2.0854000E-06,+1.0273437499853E+00
+2.0855000E-06,+1.0742187499852E+00
+2.0856000E-06,+1.1210937499851E+00
+2.0857000E-06,+1.1660156249856E+00
+2.0858000E-06,+1.2050781249874E+00
+2.0859000E-06,+1.2421874999880E+00
+2.0860000E-06,+1.2812499999873E+00
+2.0861000E-06,+1.3203124999872E+00
+2.0862000E-06,+1.3593749999871E+00
+2.0863000E-06,+1.4003906249864E+00
+2.0864000E-06,+1.4433593749856E+00
+2.0865000E-06,+1.4863281249855E+00
+2.0866000E-06,+1.5351562499835E+00
+2.0867000E-06,+1.5820312499840E+00
+2.0868000E-06,+1.6249999999853E+00
+2.0869000E-06,+1.6679687499852E+00
+2.0870000E-06,+1.7089843749858E+00
+2.0871000E-06,+1.7539062499843E+00
+2.0872000E-06,+1.7929687499863E+00
+2.0873000E-06,+1.8300781249869E+00
+2.0874000E-06,+1.8671874999868E+00
+2.0875000E-06,+1.9042968749868E+00
+2.0876000E-06,+1.9433593749860E+00
+2.0877000E-06,+1.9824218749859E+00
+2.0878000E-06,+2.0175781249872E+00
+2.0879000E-06,+2.0527343749872E+00
+2.0880000E-06,+2.0878906249871E+00
+2.0881000E-06,+2.1230468749870E+00
+2.0882000E-06,+2.1582031249870E+00
+2.0883000E-06,+2.1874999999891E+00
+2.0884000E-06,+2.2187499999883E+00
+2.0885000E-06,+2.2539062499867E+00
+2.0886000E-06,+2.2890624999867E+00
+2.0887000E-06,+2.3281249999851E+00
+2.0888000E-06,+2.3613281249873E+00
+2.0889000E-06,+2.3964843749865E+00
+2.0890000E-06,+2.4316406249864E+00
+2.0891000E-06,+2.4648437499871E+00
+2.0892000E-06,+2.4941406249885E+00
+2.0893000E-06,+2.5214843749892E+00
+2.0894000E-06,+2.5468749999900E+00
+2.0895000E-06,+2.5722656249899E+00
+2.0896000E-06,+2.6015624999883E+00
+2.0897000E-06,+2.6289062499890E+00
+2.0898000E-06,+2.6582031249882E+00
+2.0899000E-06,+2.6874999999881E+00
+2.0900000E-06,+2.7167968749881E+00
+2.0901000E-06,+2.7460937499880E+00
+2.0902000E-06,+2.7753906249879E+00
+2.0903000E-06,+2.8027343749887E+00
+2.0904000E-06,+2.8281249999894E+00
+2.0905000E-06,+2.8554687499886E+00
